[68]
-639,-721
-1079,-1696
-1942,-1945
-1223,247
-827,-1881
-760,1026
-306,-1835
1425,1205
781,-1765
1799,1481
1135,-699
1753,-846
-998,655
291,1649
-1805,1952
-1012,1844
-1381,-1309
-1013,-609
819,-277
-1428,-129
1609,-1165
-645,-1315
-330,291
374,-634
-996,-878
-176,-693
-428,1734
-1200,-313
1140,1569
1862,1160
-1293,-1910
-1915,-445
-866,746
873,-200
1131,-355
456,1969
-631,120
432,-186
1254,494
-441,77
1756,-623
-1541,1981
85,-1451
-540,-421
-292,-1388
-871,-1440
-770,-1612
863,-29
-1834,-331
974,1062
405,1273
-1994,-1041
-149,1802
1640,1743
1418,-460
180,1768
-1569,1175
192,-1685
-1132,-342
1908,1377
-626,-1333
1218,-1217
-925,-1904
-21,1449
494,485
423,1314
-105,-2
-1110,-784
