[1148]
-1924,-1837
1529,116
-1725,-1134
-258,1724
987,509
-210,413
109,1955
585,62
-217,733
283,-1789
1648,-957
-334,-1898
-1855,940
-1071,1592
-1422,1621
-1376,-388
-1274,-1547
1711,-999
-173,1990
-117,1465
277,436
-148,1618
199,1002
794,426
-389,394
814,-283
1437,-1224
-1191,1124
-284,205
1834,-1639
387,64
-220,-841
1197,1851
755,467
23,-99
844,-1160
647,-907
1083,-239
1463,1328
-840,-258
1668,-526
-1931,1775
-1053,-412
882,676
-1841,959
143,1412
1169,28
-783,1411
-252,-853
1811,-386
-1026,-1992
-1982,-62
-1453,-1534
-803,-262
368,-577
-118,-676
-431,1082
-87,1165
790,-1540
-1419,-1448
-232,-1719
-79,-1881
788,1049
1359,-876
-130,-1210
-181,-307
1874,-1899
-1303,-210
-239,-1004
387,836
1485,336
-714,-661
531,486
-1666,1153
-1510,-426
954,-945
-1924,691
-539,620
-1736,763
634,250
161,1201
-1781,1308
-1246,-1976
1020,-1708
1177,1183
-981,-1143
324,-642
667,279
1211,-1480
-72,522
-1037,1224
62,1338
-1668,-312
1039,-1905
801,778
1084,1003
-229,-1480
-874,1073
-626,-689
-1153,1315
460,297
771,-458
1316,634
969,-1511
249,-131
-792,1922
480,-1166
1519,-617
-852,-1666
-259,-272
-1941,-722
1330,1841
1904,-280
-1209,-1958
-1226,-752
-315,-1846
256,-1926
1618,1696
110,-973
636,498
-254,1443
-1928,-1867
94,-647
-213,-184
-920,-1365
-1701,-1383
-1537,612
-197,-1753
-1351,1197
1853,-420
-698,-1587
777,-1050
169,1762
494,-64
158,-1847
-45,475
1520,-1439
-103,1199
-1168,-1247
1862,1326
1477,1561
-1644,-295
159,1099
1771,-1486
-1700,1535
296,-1355
1309,595
-359,-310
-218,-1670
966,-1480
-714,84
338,-1443
-1877,1980
-1809,-368
653,616
1437,852
-825,491
-75,993
-243,1241
473,1500
358,-1165
106,657
803,-1718
818,1659
1786,937
-482,-1058
-74,-737
389,-1998
71,-1972
871,-1865
704,454
650,1631
1800,-306
1239,225
-719,516
-740,-1209
-271,-102
1969,390
68,1725
288,621
-667,1562
1505,1524
1778,579
-1555,-1995
-1988,102
-74,-1657
-425,-1895
-638,-1401
364,136
-1320,577
-1843,1590
184,929
-809,-1658
391,-1104
1821,-729
-23,-212
186,644
