[175]
-1436,-1377
1489,-1032
1548,-747
-441,-635
-1105,1684
1922,1107
1344,-866
1631,-339
-434,-1615
1697,-886
-1624,856
-590,236
-1368,1888
311,-950
1017,1752
1883,-1328
-686,748
453,517
-1484,1627
-1100,1877
332,-1333
696,-137
1958,-653
1472,610
-454,56
-90,63
1956,-477
-706,502
-732,-122
1340,608
1542,180
-761,1925
524,-935
-1081,-1453
-1830,-1584
-1377,1604
1356,-1809
1604,1074
1319,1191
1555,-1059
1655,116
-889,430
-1488,-1653
1130,-218
-75,1223
-1951,-1302
-67,-1684
1894,-705
-5,-293
-1154,-710
-830,-1305
1492,1168
-450,785
348,-1844
274,-804
141,1244
-1356,-617
717,1091
575,1172
-1511,1173
-295,-1959
1358,-1920
1542,-211
17,-1996
1060,-1244
1787,-1679
-381,-845
305,658
1891,577
217,1988
-431,1947
-755,1829
-1491,-1735
836,-1229
1944,1741
391,-877
1566,234
1239,-666
-370,-402
1651,1651
-435,427
1016,-608
-1963,-878
1414,-1151
-1275,-1749
-871,886
-1301,488
1835,-1848
-1024,-483
1327,-1042
532,-554
210,1673
1488,1659
-1827,-1952
-416,1516
559,1759
668,-1118
722,-1547
1181,89
1020,-509
-1113,-1315
447,-1367
339,637
-1502,580
1037,1535
-454,-1747
1690,-921
1156,-1811
-1919,1862
-1777,-1321
1743,1393
-697,1585
866,-1175
1909,457
551,1272
-114,-714
-1731,-792
1089,-11
1633,-610
1343,-273
-1228,-676
674,-487
487,-907
-1705,609
-1075,1456
720,163
993,536
1720,-882
1012,-600
-1913,1939
-1349,1249
252,1006
1850,-25
1314,-1734
-1360,906
1463,-1250
-1776,133
803,1159
-455,-976
-1693,1659
-431,-1796
-990,-642
75,1708
918,-1266
1027,1873
1327,-277
-1583,-225
1847,-261
718,-765
579,844
-1430,10
1582,1285
1940,839
-1283,1240
1887,30
-1955,-122
-877,85
618,1742
462,-438
1571,519
-1896,-590
1229,572
1252,-707
-1997,130
1478,-1619
71,1244
1537,-1376
652,1637
288,1327
-695,-1128
1992,-371
-852,187
693,820
-1686,-1102
1274,541
